Classi,N. Classi,Scuola,Laboratorio,Settimana,Giorno,Fascia Oraria,Data e Ora,Accorpamento
"3C, 3CL, 3GL, 4B",4,"IIS PeanoRosa, IIS. E. Mattei",citizen science,0,Giovedì,Mattino1,29/01/2026 09:00-11:00,Sì
"4B, 4BSA",2,Liceo Scientifico G. Galilei,citizen science,0,Giovedì,Mattino2,29/01/2026 11:00-13:00,Sì
"3A, 4C",2,Liceo Scientifico P. P. Pasolini,citizen science,0,Venerdì,Pomeriggio,30/01/2026 14:00-16:00,Sì
"3F, 5A",2,IIS Fermi,orientamento e competenze,0,Sabato,Mattino2,31/01/2026 11:00-13:00,Sì
"3A, 3E",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,1,Giovedì,Pomeriggio,05/02/2026 14:00-16:00,Sì
"3F, 5A",2,IIS Fermi,orientamento e competenze,1,Venerdì,Mattino2,06/02/2026 11:00-13:00,Sì
"3CI, 5ALSA, 5AS, 5BS",4,"Liceo Pascal, IIS Amedeo D'Aosta",citizen science,1,Venerdì,Pomeriggio,06/02/2026 14:00-16:00,Sì
"3B, 3M",2,Liceo Scientifico Vitruvio Pollione,orientamento e competenze,1,Sabato,Mattino1,07/02/2026 09:00-11:00,Sì
"3C, 4B",2,IIS. E. Mattei,citizen science,2,Sabato,Mattino1,14/02/2026 09:00-11:00,Sì
"3B, 3M",2,Liceo Scientifico Vitruvio Pollione,orientamento e competenze,2,Sabato,Mattino2,14/02/2026 11:00-13:00,Sì
"3AS, 3ESA",2,Liceo Pascal,orientamento e competenze,3,Lunedì,Pomeriggio,16/02/2026 14:00-16:00,Sì
"4AS, 4BS",2,Liceo Pascal,citizen science,3,Venerdì,Pomeriggio,20/02/2026 14:00-16:00,Sì
"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,4,Lunedì,Pomeriggio,23/02/2026 14:00-16:00,Sì
"4AS, 4BS",2,Liceo Pascal,citizen science,4,Venerdì,Pomeriggio,27/02/2026 14:00-16:00,Sì
"4BU, 4CU",2,Liceo Pascal,citizen science,5,Lunedì,Pomeriggio,02/03/2026 14:00-16:00,Sì
"4ALSA, 4CI",2,IIS Amedeo D'Aosta,citizen science,5,Giovedì,Mattino1,05/03/2026 09:00-11:00,Sì
"3A, 4C, 5AM, 5E",4,"Liceo Scientifico P. P. Pasolini, IIS. E. Mattei",citizen science,5,Giovedì,Pomeriggio,05/03/2026 14:00-16:00,Sì
"4BSA, 4H",2,Liceo Scientifico G. Galilei,citizen science,6,Giovedì,Mattino1,12/03/2026 09:00-11:00,Sì
"4AS-SAA, 4DS",2,Liceo Pascal,citizen science,6,Venerdì,Pomeriggio,13/03/2026 14:00-16:00,Sì
"4ALSA, 4AS, 4AS-SAA, 4ASA, 4BSA, 4CI",6,"Liceo Pascal, IIS Amedeo D'Aosta, Liceo Scientifico G. Galilei",presentazione manuali,7,Lunedì,Pomeriggio,16/03/2026 14:00-16:00,Sì
"4BS, 4DS, 5C, 5E",4,"Liceo Pascal, Liceo Scientifico e Linguistico M.Curie",presentazione manuali,7,Venerdì,Pomeriggio,20/03/2026 14:00-16:00,Sì
"3A, 4C, 5AM",3,"Liceo Scientifico P. P. Pasolini, IIS. E. Mattei",presentazione manuali,8,Lunedì,Pomeriggio,23/03/2026 14:00-16:00,Sì
"5H, 5I",2,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,9,Lunedì,Mattino1,30/03/2026 09:00-11:00,Sì
"3E, 4C, 4CSA, 5C",4,"Liceo Scientifico P. P. Pasolini, Liceo Scientifico G. Galilei",sensibilizzazione discriminazioni di genere,9,Lunedì,Pomeriggio,30/03/2026 14:00-16:00,Sì
"3DSA, 4CSA",2,Liceo Scientifico G. Galilei,sensibilizzazione discriminazioni di genere,10,Venerdì,Pomeriggio,17/04/2026 14:00-16:00,Sì
"3E, 5C",2,Liceo Scientifico P. P. Pasolini,presentazione manuali,11,Lunedì,Pomeriggio,20/04/2026 14:00-16:00,Sì
"3A, 3I, 5C, 5D",4,"Liceo Scientifico P. P. Pasolini, Liceo Scientifico G. Galilei",sensibilizzazione discriminazioni di genere,13,Lunedì,Pomeriggio,04/05/2026 14:00-16:00,Sì
"3A, 3I, 5C, 5D",4,"Liceo Scientifico P. P. Pasolini, Liceo Scientifico G. Galilei",presentazione manuali,15,Lunedì,Pomeriggio,18/05/2026 14:00-16:00,Sì
